Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,2.662,7.697,0.491,52.8,0.427,0.496,0.371
Albania,4.64,9.476,0.638,68.4,0.75,0.669,0.334
Algeria,5.249,9.354,0.807,65.7,0.437,0.642,0.289
Argentina,6.039,10.067,0.907,68.6,0.832,0.809,0.292
Armenia,4.288,9.402,0.698,66.6,0.614,0.625,0.437
Australia,7.257,10.798,0.95,73.3,0.911,0.78,0.225
Austria,7.294,10.908,0.906,72.7,0.89,0.748,0.18
Azerbaijan,5.152,9.555,0.787,65.2,0.731,0.592,0.198
Bahrain,6.227,10.771,0.876,68.5,0.906,0.814,0.29
Bangladesh,4.31,8.334,0.713,63.8,0.896,0.569,0.214
Belarus,5.553,9.814,0.9,65.8,0.621,0.541,0.233
Belgium,6.928,10.834,0.922,71.8,0.857,0.786,0.234
Benin,4.853,8.021,0.436,53.9,0.727,0.615,0.458
Bolivia,5.651,9.039,0.779,63.3,0.884,0.698,0.434
Bosnia and Herzegovina,5.09,9.532,0.775,67.5,0.564,0.597,0.271
Botswana,3.505,9.756,0.768,58.2,0.817,0.656,0.276
Brazil,6.333,9.583,0.905,66.2,0.765,0.716,0.308
Bulgaria,5.097,9.969,0.942,66.6,0.689,0.614,0.189
Burkina Faso,4.647,7.627,0.785,53.4,0.614,0.585,0.354
Cambodia,4.586,8.276,0.765,61.2,0.964,0.799,0.408
Cameroon,5.074,8.176,0.695,51.9,0.767,0.632,0.377
Canada,7.415,10.792,0.934,73.4,0.945,0.863,0.218
Central African Republic,3.476,6.817,0.32,45.2,0.645,0.614,0.599
Chad,4.559,7.37,0.661,47.7,0.615,0.628,0.538
Chile,6.32,10.072,0.88,69.8,0.79,0.838,0.291
China,5.099,9.571,0.772,69,0.878,0.821,0.214
Colombia,6.157,9.569,0.909,67.4,0.838,0.837,0.299
Congo (Brazzaville),4.884,8.146,0.655,57.3,0.778,0.599,0.382
Congo (Kinshasa),4.311,6.966,0.67,52.9,0.704,0.551,0.404
Costa Rica,7.225,9.858,0.922,71.1,0.936,0.874,0.275
Croatia,5.343,10.189,0.77,69.6,0.716,0.655,0.316
Cyprus,6.062,10.539,0.819,73.5,0.812,0.784,0.301
Czech Republic,6.79,10.558,0.901,69.8,0.832,0.739,0.227
Denmark,7.594,10.916,0.952,72.1,0.955,0.824,0.206
Dominican Republic,5.605,9.725,0.894,65.5,0.855,0.739,0.275
Ecuador,5.84,9.36,0.849,68.2,0.879,0.829,0.314
Egypt,3.929,9.307,0.638,61.4,0.593,0.539,0.414
El Salvador,6.339,9.042,0.829,65.8,0.758,0.849,0.268
Estonia,5.938,10.429,0.936,68.4,0.862,0.805,0.16
Ethiopia,4.18,7.612,0.734,58,0.717,0.609,0.304
Finland,7.788,10.768,0.964,71.8,0.962,0.787,0.176
France,6.635,10.711,0.931,73.6,0.834,0.762,0.242
Gabon,4.782,9.616,0.807,59.2,0.652,0.634,0.446
Gambia,4.118,7.637,0.697,54.7,0.812,0.838,0.277
Georgia,4.451,9.517,0.59,64.7,0.821,0.581,0.21
Germany,7.074,10.878,0.892,71.9,0.841,0.737,0.196
Ghana,5.481,8.517,0.669,56.8,0.783,0.703,0.248
Greece,5.148,10.278,0.753,72.2,0.438,0.603,0.333
Guatemala,6.325,9.026,0.826,64.5,0.915,0.846,0.308
Guinea,4.874,7.792,0.634,53.3,0.738,0.704,0.422
Haiti,3.824,7.475,0.647,55.5,0.484,0.573,0.322
Honduras,6.02,8.624,0.843,67,0.898,0.842,0.248
Hong Kong S.A.R. of China,5.362,11,0.831,,0.831,0.64,0.201
Hungary,6.065,10.293,0.877,67.2,0.661,0.735,0.181
Iceland,7.476,10.925,0.967,73,0.939,0.895,0.148
India,4.046,8.73,0.607,59.7,0.886,0.682,0.318
Indonesia,5.098,9.3,0.796,61.9,0.865,0.863,0.319
Iran,4.717,9.584,0.714,65.7,0.731,0.694,0.439
Iraq,4.462,9.303,0.695,59.6,0.628,0.505,0.591
Ireland,7.06,11.266,0.943,72.2,0.905,0.833,0.213
Israel,7.331,10.57,0.916,73.1,0.768,0.674,0.276
Italy,6.199,10.64,0.92,73.4,0.633,0.661,0.323
Ivory Coast,5.038,8.483,0.661,48.9,0.732,0.698,0.357
Jamaica,5.89,9.169,0.913,67.1,0.861,0.769,0.243
Japan,5.911,10.618,0.882,74.9,0.849,0.74,0.176
Jordan,4.808,9.194,0.815,66.6,0.766,0.628,0.392
Kazakhstan,5.882,10.121,0.914,64,0.745,0.757,0.171
Kenya,4.476,8.306,0.715,59.5,0.853,0.788,0.23
Kosovo,6.149,9.262,0.792,,0.858,0.738,0.186
Kuwait,6.094,10.837,0.853,66.5,0.884,0.692,0.307
Kyrgyzstan,5.63,8.526,0.883,63.8,0.859,0.755,0.16
Laos,4.623,8.89,0.707,58.3,0.891,0.873,0.344
Latvia,5.978,10.257,0.895,66.5,0.7,0.623,0.232
Lebanon,5.154,9.681,0.777,66.6,0.605,0.515,0.244
Lesotho,3.795,7.931,0.769,47.3,0.757,0.746,0.255
Liberia,4.424,7.324,0.685,55.3,0.733,0.668,0.391
Libya,5.647,9.491,0.823,62.3,0.779,0.697,0.379
Lithuania,6.273,10.429,0.926,66.7,0.749,0.608,0.195
Luxembourg,7.061,11.634,0.905,72.6,0.903,0.766,0.184
Madagascar,4.079,7.368,0.626,58.7,0.57,0.752,0.375
Malawi,3.417,6.945,0.555,56.9,0.848,0.609,0.312
Mali,4.742,7.718,0.741,51.2,0.753,0.742,0.393
Malta,6.676,10.635,0.937,72.2,0.924,0.721,0.302
Mauritania,4.678,8.533,0.779,56.7,0.527,0.637,0.272
Mauritius,6.174,9.972,0.91,66.1,0.912,0.748,0.169
Mexico,6.41,9.893,0.8,68,0.861,0.843,0.231
Moldova,5.326,9.363,0.831,64.3,0.553,0.581,0.259
Mongolia,5.334,9.334,0.924,62.1,0.675,0.675,0.214
Montenegro,5.615,9.885,0.881,68.3,0.626,0.519,0.35
Morocco,5.312,8.898,0.641,65.6,0.814,0.559,0.323
Mozambique,4.28,7.157,0.678,53.2,0.823,0.648,0.353
Myanmar,4.154,8.464,0.795,58.7,0.886,0.746,0.282
Namibia,4.441,9.215,0.828,56.2,0.81,0.721,0.277
Nepal,4.737,8.039,0.816,62.4,0.845,0.571,0.376
Netherlands,7.459,10.921,0.937,72.2,0.92,0.852,0.185
New Zealand,7.327,10.633,0.955,73,0.942,0.817,0.172
Nicaragua,6.476,8.7,0.838,67.2,0.922,0.85,0.308
Niger,4.616,7.058,0.582,53,0.684,0.731,0.427
Nigeria,5.322,8.555,0.733,49.3,0.826,0.725,0.236
North Macedonia,5.234,9.65,0.8,65.303,0.752,0.502,0.299
Norway,7.579,11.05,0.95,73.1,0.953,0.849,0.203
Pakistan,5.831,8.428,0.69,58.1,0.713,0.586,0.308
Palestinian Territories,4.628,8.485,0.824,,0.632,0.597,0.416
Panama,6.568,10.324,0.912,69.5,0.9,0.833,0.242
Paraguay,5.713,9.441,0.902,65.5,0.891,0.903,0.232
Peru,5.711,9.434,0.83,67.8,0.827,0.789,0.394
Philippines,5.594,9.002,0.851,61.8,0.926,0.769,0.341
Poland,6.201,10.314,0.882,68.9,0.831,0.677,0.203
Portugal,5.711,10.407,0.9,72.2,0.905,0.649,0.294
Romania,6.09,10.211,0.811,66.9,0.839,0.734,0.231
Russia,5.579,10.166,0.896,63.9,0.731,0.71,0.195
Rwanda,3.108,7.588,0.517,60.5,0.908,0.762,0.358
Saudi Arabia,6.294,10.764,0.84,66,0.814,0.775,0.306
Senegal,4.683,8.072,0.744,59.2,0.687,0.746,0.291
Serbia,5.122,9.713,0.884,67.8,0.685,0.51,0.326
Sierra Leone,4.09,7.404,0.652,49.2,0.711,0.6,0.495
Singapore,6.378,11.461,0.897,76.5,0.926,0.8,0.179
Slovakia,6.366,10.339,0.913,68.6,0.714,0.788,0.213
Slovenia,6.167,10.509,0.928,70.8,0.921,0.615,0.286
South Africa,4.514,9.45,0.87,56.1,0.787,0.785,0.268
South Korea,5.874,10.621,0.807,73.3,0.538,0.623,0.235
South Sudan,2.817,,0.557,51,0.456,0.586,0.517
Spain,6.23,10.586,0.903,74.1,0.756,0.625,0.302
Sri Lanka,4.331,9.44,0.823,67,0.827,0.795,0.27
Sweden,7.287,10.873,0.914,72.5,0.935,0.814,0.175
Switzerland,7.474,11.115,0.95,73.8,0.925,0.774,0.196
Taiwan Province of China,6.359,10.871,0.891,,0.76,0.837,0.114
Tajikistan,5.829,8.036,0.663,63.8,0.832,0.603,0.278
Tanzania,3.347,7.836,0.705,57,0.8,0.715,0.255
Thailand,5.939,9.765,0.877,67,0.923,0.816,0.232
Togo,4.361,7.324,0.508,54.3,0.717,0.614,0.426
Trinidad and Tobago,6.192,10.183,0.916,63.5,0.859,0.846,0.248
Tunisia,4.124,9.269,0.717,66.6,0.478,0.421,0.377
Turkey,5.607,10.238,0.876,66.4,0.644,0.45,0.313
Turkmenistan,5.229,9.561,0.908,61.8,0.72,0.521,0.35
Uganda,4.001,7.638,0.74,55.3,0.772,0.703,0.4
Ukraine,4.311,9.382,0.858,64.3,0.599,0.597,0.235
United Arab Emirates,7.039,11.115,0.836,66.9,0.962,0.795,0.208
United Kingdom,7.103,10.736,0.937,72.1,0.813,0.759,0.21
United States,6.992,11.001,0.921,68.4,0.868,0.827,0.268
Uruguay,6.336,9.968,0.914,68.9,0.898,0.836,0.28
Uzbekistan,6.421,8.782,0.942,64.8,0.985,0.839,0.203
Venezuela,5.071,9.073,0.896,66.3,0.636,0.726,0.363
Vietnam,5.175,8.876,,67.7,,,
Yemen,3.254,7.578,0.79,55.9,0.595,0.455,0.295
Zambia,3.933,8.156,0.744,54.8,0.823,0.685,0.387
Zimbabwe,3.638,8.016,0.754,55,0.753,0.806,0.224
